date,product,category,region,units_sold,sales,cost,promo_flag
2021-01-03,Serum,Health,North,8,221.57,151.54,1
2021-01-03,Shampoo,Health,East,8,166.3,117.0,0
2021-01-03,Facewash,Beauty,East,2,79.18,47.23,0
2021-01-03,Soap,Health,South,7,251.26,184.97,0
2021-01-03,Serum,Health,West,14,132.53,105.56,0
2021-01-03,Lotion,Personal Care,West,11,393.37,300.69,0
2021-01-03,Soap,Personal Care,East,7,241.02,159.15,0
2021-01-04,Facewash,Beauty,West,14,268.32,202.81,0
2021-01-04,Lotion,Personal Care,North,12,247.74,168.64,0
2021-01-04,Soap,Health,East,5,176.43,126.2,0
2021-01-04,Lotion,Health,West,6,32.72,20.02,0
2021-01-04,Lotion,Health,South,9,325.93,244.26,0
2021-01-04,Shampoo,Beauty,South,2,48.25,33.41,0
2021-01-04,Toothpaste,Beauty,West,10,88.54,56.63,1
2021-01-04,Soap,Personal Care,West,1,12.08,8.94,0
2021-01-04,Conditioner,Health,East,2,46.45,34.63,0
2021-01-04,Shampoo,Health,East,14,286.52,221.74,1
2021-01-04,Toothpaste,Beauty,West,7,251.58,159.45,0
2021-01-04,Conditioner,Beauty,North,7,88.51,62.07,0
2021-01-04,Facewash,Personal Care,West,12,76.31,46.6,0
2021-01-04,Soap,Beauty,North,8,152.78,108.96,0
2021-01-04,Facewash,Beauty,South,10,219.16,158.96,0
2021-01-04,Soap,Health,West,11,265.51,187.58,0
2021-01-04,Lotion,Health,South,12,379.88,227.17,0
2021-01-04,Facewash,Beauty,North,10,371.92,292.13,0
2021-01-04,Conditioner,Beauty,South,12,472.07,288.35,0
2021-01-04,Conditioner,Personal Care,North,9,168.26,108.52,0
2021-01-04,Conditioner,Beauty,North,2,42.68,29.37,0
2021-01-04,Lotion,Beauty,West,4,115.88,73.97,0
2021-01-04,Toothpaste,Personal Care,West,7,59.06,41.65,1
2021-01-04,Shampoo,Beauty,East,1,33.04,21.69,0
2021-01-04,Facewash,Health,West,1,9.09,6.97,0
2021-01-04,Facewash,Beauty,North,6,88.32,66.47,0
2021-01-04,Shampoo,Personal Care,South,3,107.3,74.78,0
2021-01-04,Serum,Personal Care,East,4,158.48,117.46,0
2021-01-04,Soap,Personal Care,North,8,306.7,196.9,0
2021-01-04,Facewash,Beauty,East,13,140.4,106.85,0
2021-01-04,Serum,Beauty,East,6,30.89,24.28,0
2021-01-04,Serum,Personal Care,West,9,212.74,142.76,0
2021-01-04,Toothpaste,Health,North,2,43.32,24.77,0
2021-01-04,Lotion,Personal Care,South,3,103.99,80.43,0
2021-01-04,Shampoo,Health,West,5,142.08,113.47,0
2021-01-04,Serum,Beauty,South,8,216.23,155.04,0
2021-01-04,Conditioner,Personal Care,East,2,59.21,42.69,0
2021-01-04,Serum,Personal Care,West,9,218.39,167.06,0
2021-01-04,Toothpaste,Personal Care,North,7,99.0,78.49,0
2021-01-04,Facewash,Personal Care,North,10,210.9,128.89,0
2021-01-04,Serum,Beauty,South,4,64.76,44.68,0
2021-01-04,Soap,Personal Care,West,8,255.31,141.32,0
2021-01-04,Facewash,Health,South,10,237.98,180.64,0
2021-01-04,Facewash,Personal Care,East,1,13.62,9.73,0
2021-01-04,Shampoo,Personal Care,East,2,26.28,20.16,0
2021-01-04,Serum,Beauty,North,13,515.66,381.0,1
2021-01-04,Serum,Health,North,4,146.58,81.65,0
2021-01-04,Soap,Health,South,7,90.35,53.16,0
2021-01-04,Toothpaste,Personal Care,South,2,18.92,14.66,0
2021-01-04,Conditioner,Beauty,West,12,82.08,64.59,1
2021-01-05,Serum,Personal Care,West,14,275.76,166.1,0
2021-01-05,Conditioner,Health,South,6,51.05,35.78,1
2021-01-05,Facewash,Health,West,4,74.21,49.21,0
2021-01-05,Soap,Health,South,8,194.15,144.92,0
2021-01-05,Toothpaste,Personal Care,South,1,29.15,18.87,1
2021-01-05,Conditioner,Personal Care,North,6,131.88,76.44,0
2021-01-05,Serum,Personal Care,East,1,7.92,5.06,0
2021-01-05,Shampoo,Health,North,8,264.08,172.74,0
2021-01-05,Lotion,Health,South,5,186.17,118.63,0
2021-01-05,Toothpaste,Beauty,South,5,65.21,45.07,0
2021-01-05,Lotion,Beauty,East,1,21.59,16.65,0
2021-01-05,Serum,Health,West,13,174.1,136.72,0
2021-01-05,Toothpaste,Personal Care,North,3,39.76,31.33,0
2021-01-05,Facewash,Beauty,West,2,70.57,54.18,0
2021-01-05,Facewash,Beauty,West,3,66.19,37.15,0
2021-01-05,Conditioner,Personal Care,East,5,164.25,94.38,0
2021-01-05,Lotion,Personal Care,North,14,168.93,108.35,0
2021-01-05,Toothpaste,Health,East,3,33.32,23.32,0
2021-01-05,Lotion,Health,South,10,55.5,43.06,0
2021-01-05,Shampoo,Beauty,East,12,200.26,141.22,0
2021-01-05,Facewash,Health,East,5,57.17,43.53,0
2021-01-05,Facewash,Health,South,4,46.84,28.9,0
2021-01-06,Serum,Beauty,East,5,143.03,102.55,1
2021-01-06,Toothpaste,Beauty,North,6,67.59,44.92,0
2021-01-06,Conditioner,Personal Care,East,6,217.92,133.42,0
2021-01-06,Soap,Health,West,14,437.73,257.99,0
2021-01-06,Shampoo,Health,South,9,101.63,65.51,1
2021-01-06,Soap,Beauty,East,9,328.21,182.98,0
2021-01-06,Shampoo,Beauty,South,2,74.75,56.39,0
2021-01-06,Toothpaste,Personal Care,East,9,114.81,86.17,0
2021-01-06,Conditioner,Beauty,West,9,209.2,119.24,0
2021-01-06,Conditioner,Beauty,North,1,31.78,22.67,0
2021-01-06,Facewash,Personal Care,South,3,61.5,45.56,0
2021-01-06,Toothpaste,Beauty,North,5,117.21,79.04,0
2021-01-06,Toothpaste,Health,East,3,66.55,46.97,0
2021-01-06,Shampoo,Health,East,12,456.41,310.41,0
2021-01-06,Facewash,Health,West,3,101.79,72.19,0
2021-01-06,Conditioner,Personal Care,North,2,56.74,35.33,0
2021-01-06,Serum,Personal Care,North,9,190.96,120.03,0
2021-01-06,Conditioner,Health,West,8,237.23,130.72,0
2021-01-06,Shampoo,Beauty,West,14,337.18,239.4,0
2021-01-06,Toothpaste,Personal Care,South,8,102.02,70.71,0
2021-01-06,Soap,Health,South,7,119.21,77.44,0
2021-01-06,Conditioner,Beauty,West,4,118.88,83.56,0
2021-01-06,Facewash,Beauty,North,2,70.12,46.41,0
2021-01-06,Conditioner,Health,West,13,451.27,291.05,1
2021-01-07,Serum,Personal Care,West,11,120.82,79.3,0
2021-01-07,Conditioner,Beauty,East,3,113.3,62.33,0
2021-01-07,Soap,Health,West,1,15.75,12.22,0
2021-01-07,Lotion,Health,East,4,41.06,30.27,1
2021-01-07,Serum,Health,North,13,403.8,248.85,0
2021-01-07,Lotion,Personal Care,West,13,239.91,191.85,0
2021-01-07,Toothpaste,Health,East,3,64.09,44.23,1
2021-01-07,Facewash,Personal Care,East,2,65.11,36.06,0
2021-01-07,Soap,Beauty,North,8,319.04,244.2,0
2021-01-07,Serum,Beauty,South,5,53.87,36.7,1
2021-01-07,Facewash,Personal Care,West,8,58.65,42.22,1
2021-01-07,Serum,Health,East,10,144.39,106.91,0
2021-01-07,Soap,Health,East,1,26.91,18.31,0
2021-01-07,Toothpaste,Health,East,2,51.28,34.06,0
2021-01-07,Conditioner,Personal Care,West,5,152.52,105.0,0
2021-01-07,Lotion,Personal Care,West,13,500.82,383.71,1
2021-01-07,Shampoo,Beauty,West,14,343.51,195.53,0
2021-01-07,Facewash,Beauty,South,11,70.06,41.0,0
2021-01-07,Soap,Personal Care,North,7,117.32,67.87,0
2021-01-07,Shampoo,Beauty,East,2,59.74,45.02,0
2021-01-07,Serum,Beauty,South,10,391.18,301.36,1
2021-01-07,Conditioner,Personal Care,North,13,165.5,99.62,0
2021-01-07,Lotion,Personal Care,South,1,8.13,5.45,0
2021-01-07,Shampoo,Health,North,6,111.46,84.66,0
2021-01-07,Serum,Health,South,2,63.8,39.13,0
2021-01-07,Lotion,Beauty,East,7,46.56,26.85,1
2021-01-07,Toothpaste,Beauty,West,3,17.04,11.54,0
2021-01-07,Serum,Personal Care,West,7,156.42,94.24,1
2021-01-07,Facewash,Beauty,West,13,335.6,184.86,0
2021-01-07,Toothpaste,Beauty,East,11,381.46,288.57,0
2021-01-07,Facewash,Personal Care,North,3,44.98,35.56,0
2021-01-07,Toothpaste,Health,South,5,162.18,129.54,1
2021-01-07,Conditioner,Health,East,9,124.15,88.7,1
2021-01-07,Conditioner,Personal Care,East,3,84.3,64.19,0
2021-01-07,Lotion,Personal Care,North,11,180.27,140.8,0
2021-01-07,Serum,Health,North,6,188.06,138.55,0
2021-01-07,Soap,Beauty,West,14,341.76,214.86,0
2021-01-07,Conditioner,Beauty,East,13,427.49,325.42,1
2021-01-07,Facewash,Beauty,South,9,247.61,192.9,1
2021-01-07,Shampoo,Health,West,3,21.65,13.24,0
2021-01-07,Serum,Beauty,West,14,474.81,283.5,0
2021-01-07,Serum,Beauty,East,10,194.87,109.82,0
2021-01-07,Conditioner,Health,North,3,67.53,40.07,0
2021-01-07,Lotion,Beauty,West,6,48.61,29.4,1
2021-01-07,Lotion,Health,East,7,117.0,88.67,0
2021-01-07,Serum,Health,East,11,63.53,44.64,1
2021-01-07,Lotion,Personal Care,North,7,58.12,46.18,0
2021-01-07,Conditioner,Personal Care,East,3,96.58,60.09,1
2021-01-07,Facewash,Personal Care,West,14,314.4,198.44,0
2021-01-07,Conditioner,Health,South,3,23.58,18.03,1
2021-01-07,Soap,Beauty,North,14,369.98,283.12,0
2021-01-07,Facewash,Beauty,West,11,321.26,227.72,0
2021-01-07,Shampoo,Health,East,9,101.14,75.72,0
2021-01-08,Lotion,Beauty,West,1,10.75,6.62,0
2021-01-08,Serum,Health,West,14,275.05,159.78,0
2021-01-08,Shampoo,Personal Care,East,2,26.35,14.62,0
2021-01-08,Shampoo,Personal Care,East,12,84.73,49.04,0
2021-01-08,Shampoo,Beauty,West,4,23.02,16.65,1
2021-01-08,Shampoo,Beauty,East,3,33.8,26.68,0
2021-01-08,Soap,Beauty,West,4,104.9,59.18,0
2021-01-08,Facewash,Health,North,6,44.63,27.99,0
2021-01-08,Toothpaste,Beauty,South,1,30.37,19.63,0
2021-01-08,Soap,Health,East,6,122.57,73.94,0
2021-01-08,Serum,Beauty,North,13,498.01,352.1,0
2021-01-08,Soap,Personal Care,West,1,12.4,9.0,0
2021-01-08,Conditioner,Personal Care,South,10,332.29,193.42,0
2021-01-08,Lotion,Personal Care,South,10,95.23,73.05,0
2021-01-08,Facewash,Beauty,South,2,41.76,30.03,0
2021-01-08,Toothpaste,Health,South,6,116.71,92.57,0
2021-01-08,Serum,Personal Care,West,14,160.14,90.29,0
2021-01-08,Toothpaste,Personal Care,South,9,335.14,248.52,1
2021-01-08,Conditioner,Health,North,2,41.97,30.86,0
2021-01-08,Lotion,Personal Care,South,12,216.48,157.38,0
2021-01-08,Soap,Personal Care,South,1,31.75,23.68,0
2021-01-08,Soap,Personal Care,South,2,34.73,19.42,0
2021-01-08,Conditioner,Health,West,4,157.59,89.96,0
2021-01-08,Conditioner,Beauty,East,4,79.05,61.5,0
2021-01-08,Serum,Health,North,9,289.02,203.21,0
2021-01-08,Toothpaste,Beauty,South,13,215.97,148.35,0
2021-01-08,Facewash,Health,West,12,345.82,274.22,0
2021-01-08,Serum,Beauty,South,8,154.31,108.81,0
2021-01-08,Serum,Beauty,South,4,158.1,87.25,0
2021-01-08,Serum,Personal Care,North,7,64.3,41.88,0
2021-01-08,Serum,Personal Care,East,14,534.77,343.64,1
2021-01-08,Toothpaste,Beauty,South,5,38.67,30.93,0
2021-01-08,Soap,Health,West,7,117.41,81.2,0
2021-01-08,Shampoo,Personal Care,West,9,225.84,166.27,0
2021-01-08,Facewash,Beauty,West,13,353.13,218.97,0
2021-01-08,Conditioner,Personal Care,East,5,137.06,81.75,0
2021-01-09,Serum,Health,East,14,249.2,178.68,1
2021-01-09,Lotion,Health,South,7,205.4,157.41,0
2021-01-09,Conditioner,Beauty,West,4,69.02,51.55,0
2021-01-09,Facewash,Personal Care,North,11,386.58,213.7,0
2021-01-09,Soap,Beauty,East,5,133.22,106.21,0
2021-01-09,Serum,Personal Care,North,13,155.69,121.54,0
2021-01-09,Conditioner,Beauty,North,4,30.09,20.88,0
2021-01-09,Toothpaste,Beauty,South,11,371.12,284.41,0
2021-01-09,Lotion,Personal Care,North,14,454.87,251.59,0
2021-01-09,Shampoo,Health,West,5,38.92,24.73,0
2021-01-09,Toothpaste,Health,North,11,90.8,61.06,0
2021-01-09,Lotion,Beauty,East,2,26.59,16.5,0
2021-01-09,Facewash,Beauty,East,14,420.07,295.92,0
2021-01-09,Shampoo,Personal Care,South,13,354.4,242.89,0
2021-01-09,Toothpaste,Beauty,East,5,122.74,94.51,0
2021-01-09,Serum,Personal Care,South,12,66.93,52.69,0
2021-01-09,Shampoo,Health,North,7,204.87,163.87,0
2021-01-09,Soap,Beauty,West,11,76.01,59.86,0
2021-01-09,Serum,Health,South,11,263.31,202.33,0
2021-01-09,Shampoo,Beauty,North,3,84.81,51.62,0
2021-01-09,Soap,Beauty,West,13,438.01,312.39,0
2021-01-09,Conditioner,Beauty,East,12,163.11,122.03,0
2021-01-09,Soap,Beauty,East,3,82.01,59.86,0
2021-01-09,Facewash,Health,North,2,36.6,20.62,0
2021-01-09,Shampoo,Beauty,East,10,340.82,233.89,0
2021-01-09,Toothpaste,Health,East,1,12.79,7.47,1
2021-01-09,Lotion,Beauty,South,5,66.77,48.93,0
2021-01-09,Shampoo,Beauty,South,13,266.91,200.46,0
2021-01-09,Facewash,Personal Care,East,7,171.47,127.27,0
2021-01-09,Serum,Beauty,South,8,304.8,205.18,0
2021-01-09,Toothpaste,Beauty,West,11,120.42,95.47,0
2021-01-09,Lotion,Health,South,2,17.24,13.71,0
2021-01-09,Soap,Beauty,North,11,435.28,253.93,0
2021-01-09,Shampoo,Personal Care,South,8,231.9,128.49,0
2021-01-09,Facewash,Personal Care,West,3,50.67,34.72,0
2021-01-09,Toothpaste,Personal Care,South,5,125.11,97.46,0
2021-01-09,Toothpaste,Health,West,9,65.07,51.04,0
2021-01-09,Facewash,Health,West,4,105.82,59.55,1
2021-01-09,Shampoo,Health,North,1,23.75,18.45,1
2021-01-09,Serum,Beauty,East,4,47.27,29.82,0
2021-01-09,Soap,Beauty,South,5,55.25,38.48,0
2021-01-09,Serum,Beauty,West,12,67.84,41.38,1
2021-01-09,Conditioner,Beauty,West,5,181.59,125.63,0
2021-01-09,Soap,Beauty,East,8,186.65,140.14,1
2021-01-09,Conditioner,Health,West,13,506.06,284.35,0
2021-01-09,Toothpaste,Beauty,East,7,272.74,193.76,1
2021-01-09,Lotion,Health,South,14,547.42,373.13,1
2021-01-09,Serum,Personal Care,South,8,235.9,180.88,0
2021-01-09,Serum,Beauty,East,2,30.61,17.78,0
2021-01-09,Toothpaste,Personal Care,East,14,308.28,169.57,0
2021-01-09,Conditioner,Personal Care,East,8,295.12,187.18,0
2021-01-09,Facewash,Personal Care,East,13,212.32,164.14,0
2021-01-09,Shampoo,Beauty,North,7,258.31,189.3,0
2021-01-09,Shampoo,Beauty,West,4,35.43,19.7,0
2021-01-09,Shampoo,Health,West,4,131.86,94.8,0
2021-01-09,Lotion,Health,South,9,326.35,239.8,0
2021-01-09,Facewash,Personal Care,East,10,296.85,176.3,1
2021-01-10,Lotion,Health,South,6,78.67,61.63,1
2021-01-10,Shampoo,Personal Care,South,7,198.06,113.39,0
2021-01-10,Facewash,Health,West,9,129.18,76.62,1
2021-01-10,Lotion,Beauty,North,2,25.28,14.69,0
2021-01-10,Serum,Personal Care,East,5,181.7,118.87,0
2021-01-10,Conditioner,Health,East,11,116.43,88.75,0
2021-01-10,Toothpaste,Health,East,9,235.25,134.88,0
2021-01-10,Serum,Health,West,13,496.97,302.57,0
2021-01-10,Shampoo,Health,South,6,183.09,143.28,0
2021-01-10,Facewash,Beauty,South,2,78.68,47.02,0
2021-01-10,Serum,Beauty,South,13,205.22,133.72,1
2021-01-10,Lotion,Beauty,South,2,52.13,40.67,0
2021-01-10,Lotion,Personal Care,West,13,362.19,272.66,0
2021-01-10,Shampoo,Beauty,South,11,304.21,239.39,0
2021-01-10,Shampoo,Beauty,North,10,373.08,254.22,0
2021-01-10,Soap,Personal Care,South,14,551.12,433.49,0
2021-01-10,Conditioner,Health,East,4,117.44,74.87,0
2021-01-10,Toothpaste,Health,South,13,475.84,268.18,0
2021-01-10,Toothpaste,Beauty,West,8,43.5,28.48,0
2021-01-10,Toothpaste,Health,West,9,116.8,91.55,0
2021-01-10,Shampoo,Personal Care,South,9,271.29,208.58,0
2021-01-10,Shampoo,Beauty,East,7,261.02,143.86,0
2021-01-11,Toothpaste,Beauty,West,9,255.53,177.7,1
2021-01-11,Lotion,Personal Care,South,5,183.17,143.92,0
2021-01-11,Soap,Health,South,5,92.8,65.37,0
2021-01-11,Conditioner,Health,South,10,341.97,265.77,0
2021-01-11,Conditioner,Beauty,North,2,47.09,35.12,0
2021-01-11,Facewash,Health,West,12,265.47,185.66,0
2021-01-11,Serum,Beauty,North,11,119.99,87.32,0
2021-01-11,Conditioner,Personal Care,North,4,103.38,64.25,0
2021-01-11,Facewash,Personal Care,West,9,300.41,189.64,0
2021-01-11,Soap,Beauty,West,11,436.44,251.85,1
2021-01-11,Shampoo,Health,East,1,34.61,22.98,0
2021-01-11,Toothpaste,Personal Care,North,11,423.75,312.6,0
2021-01-11,Facewash,Personal Care,West,4,139.96,88.54,0
2021-01-11,Toothpaste,Beauty,North,8,161.55,120.84,0
2021-01-11,Facewash,Health,West,6,174.99,101.3,1
2021-01-11,Shampoo,Health,South,5,113.48,63.46,0
2021-01-11,Toothpaste,Personal Care,West,7,115.85,69.33,0
2021-01-11,Facewash,Health,East,14,492.23,344.51,0
2021-01-11,Conditioner,Personal Care,East,1,27.92,21.87,0
2021-01-11,Shampoo,Beauty,North,14,155.08,86.08,0
2021-01-11,Serum,Personal Care,West,9,66.71,41.77,0
2021-01-11,Shampoo,Health,South,5,37.26,28.46,0
2021-01-11,Lotion,Beauty,West,10,80.36,51.68,0
2021-01-11,Facewash,Health,West,9,331.73,231.04,0
2021-01-11,Shampoo,Beauty,South,13,299.28,218.69,0
2021-01-11,Soap,Personal Care,North,13,136.08,108.12,0
2021-01-11,Shampoo,Personal Care,North,14,404.84,321.11,0
2021-01-11,Serum,Beauty,West,9,126.53,77.13,1
2021-01-11,Toothpaste,Beauty,East,11,193.59,130.69,0
2021-01-11,Toothpaste,Personal Care,East,8,245.07,183.51,0
2021-01-11,Shampoo,Beauty,South,9,249.43,138.23,0
2021-01-11,Lotion,Personal Care,West,4,59.57,33.56,0
2021-01-11,Serum,Beauty,East,8,301.69,230.11,0
2021-01-11,Shampoo,Beauty,East,8,188.07,133.87,0
2021-01-11,Toothpaste,Health,South,14,444.7,282.03,1
2021-01-11,Lotion,Health,East,13,264.84,203.58,0
2021-01-11,Lotion,Personal Care,North,10,238.15,177.93,0
2021-01-11,Toothpaste,Health,West,7,205.57,129.56,0
2021-01-11,Shampoo,Personal Care,South,13,148.4,95.24,0
2021-01-11,Toothpaste,Beauty,East,12,470.25,312.82,0
2021-01-11,Toothpaste,Health,West,3,60.83,38.66,0
2021-01-11,Soap,Personal Care,South,9,125.17,94.69,1
2021-01-12,Toothpaste,Personal Care,West,6,76.26,44.16,0
2021-01-12,Toothpaste,Health,West,13,410.67,276.01,0
2021-01-12,Shampoo,Personal Care,West,4,108.97,68.53,1
2021-01-12,Lotion,Beauty,North,13,213.69,162.53,0
2021-01-12,Toothpaste,Personal Care,North,8,160.28,95.8,0
2021-01-12,Toothpaste,Beauty,South,14,456.71,343.07,0
2021-01-12,Serum,Health,South,11,251.25,199.28,0
2021-01-12,Conditioner,Health,East,11,86.19,63.83,0
2021-01-12,Lotion,Health,East,13,169.47,114.84,0
2021-01-12,Serum,Health,East,14,422.17,283.52,0
2021-01-12,Serum,Health,North,3,91.11,54.03,0
2021-01-12,Serum,Beauty,North,13,75.1,49.05,0
2021-01-12,Toothpaste,Beauty,South,4,88.22,52.2,0
2021-01-12,Shampoo,Health,North,9,317.34,187.38,0
2021-01-12,Facewash,Health,East,10,70.81,48.67,0
2021-01-12,Facewash,Health,West,10,87.86,62.07,0
2021-01-12,Conditioner,Personal Care,East,3,113.71,64.64,0
2021-01-12,Shampoo,Health,West,13,178.86,111.04,0
2021-01-12,Conditioner,Personal Care,West,8,199.34,136.12,0
2021-01-12,Toothpaste,Beauty,South,6,236.18,161.86,1
2021-01-12,Serum,Health,West,10,373.29,258.27,0
2021-01-12,Lotion,Health,East,10,339.02,187.82,0
2021-01-12,Lotion,Beauty,South,2,24.68,19.57,0
2021-01-12,Toothpaste,Health,East,11,437.24,274.34,0
2021-01-12,Facewash,Beauty,West,2,22.44,15.3,0
2021-01-12,Serum,Beauty,North,10,169.66,112.61,0
2021-01-12,Lotion,Beauty,South,4,116.16,87.87,0
2021-01-12,Serum,Beauty,North,8,77.86,55.08,0
2021-01-12,Serum,Beauty,East,13,255.15,171.99,0
2021-01-12,Serum,Health,North,6,124.59,95.13,0
2021-01-12,Soap,Health,North,9,167.03,111.72,0
2021-01-12,Conditioner,Health,North,6,43.17,28.14,0
2021-01-12,Shampoo,Beauty,South,2,59.14,45.33,0
2021-01-12,Lotion,Beauty,West,7,164.13,127.3,1
2021-01-12,Lotion,Personal Care,North,11,339.84,229.33,0
2021-01-13,Toothpaste,Beauty,North,6,151.01,86.84,0
2021-01-13,Serum,Beauty,North,10,348.25,207.03,0
2021-01-13,Serum,Health,East,4,47.21,27.51,1
2021-01-13,Serum,Personal Care,West,1,34.4,23.82,0
2021-01-13,Conditioner,Health,North,1,35.91,23.19,0
2021-01-13,Lotion,Personal Care,East,8,208.77,151.55,0
2021-01-13,Lotion,Personal Care,West,11,398.64,228.25,0
2021-01-13,Serum,Beauty,North,2,32.88,21.96,0
2021-01-13,Soap,Beauty,North,8,169.11,133.95,0
2021-01-13,Shampoo,Beauty,East,2,49.3,35.35,0
2021-01-13,Serum,Beauty,North,5,104.64,73.45,0
2021-01-13,Shampoo,Beauty,East,9,160.87,100.93,0
2021-01-13,Facewash,Beauty,West,3,90.51,52.97,0
